topic,grade_level,subject,question_type,question_text,correct_answer,options,difficulty,source,metadata_json
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","dinner / Have / I / eight / at / o'clock","I have dinner at eight o'clock","","media","SANTILLANA","{""explicacionDiamante"": ""Usamos la preposición 'at' antes de las horas."", ""rule_id"": ""U2_PREP_AT""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","get / time / What / she / does / up / ?","What time does she get up?","","dificil","SANTILLANA","{""explicacionDiamante"": ""Con She usamos 'Does' para preguntar, y el verbo ya no lleva 's'."", ""rule_id"": ""U2_GRAMMAR_DOES_QUES""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","My mum ___ (watch) TV in the evening.","watches","","media","SANTILLANA","{""explicacionDiamante"": ""Verbos terminados en 'ch' añaden 'es' con He/She/It: watches TV."", ""rule_id"": ""U2_GRAMMAR_PRESENT_S""}"
"Unit 2: Daily routines","4º Primaria","Inglés","classification","Does or Do for questions?","{""He"": ""Does"", ""She"": ""Does"", ""I"": ""Do"", ""They"": ""Do""}","He | She | I | They","media","SANTILLANA","{""buckets"": [""Do"", ""Does""], ""explicacionDiamante"": ""Usa 'Does' para He/She/It y 'Do' para el resto en las preguntas.""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","ten / It / to / is / nine","It is ten to nine","","media","SANTILLANA","{""explicacionDiamante"": ""'Ten to nine' significa las nueve menos diez. 'To' se usa para 'menos' (lo que falta para la hora)."", ""rule_id"": ""U2_VOCAB_TIME_TO""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","He ___ (not/like) getting up early.","doesn't like","","media","SANTILLANA","{""explicacionDiamante"": ""Usamos 'doesn't' para negar con He/She/It. El verbo principal ya no lleva 's'."", ""rule_id"": ""U2_GRAMMAR_DOESNT""}"
"Unit 2: Daily routines","4º Primaria","Inglés","voice","How do you say 'ir al colegio' in English?","Go to school","","media","SANTILLANA","{""explicacionDiamante"": ""La expresión correcta es 'go to school'. Sin artículo 'the'."", ""rule_id"": ""U2_VOCAB_SCHOOL""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","she / wash / Does / face / her / ?","Does she wash her face?","","media","SANTILLANA","{""explicacionDiamante"": ""Orden: Does + sujeto + verbo sin s + complementos?"", ""rule_id"": ""U2_SYNTAX_QUES_DOES""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","I ___ (have) lunch at two o'clock.","have","","fácil","SANTILLANA","{""explicacionDiamante"": ""Con 'I' el verbo se queda igual en afirmativo: 'I have lunch'."", ""rule_id"": ""U2_GRAMMAR_PRESENT_I""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","to / go / bed / What / you / do / time / ?","What time do you go to bed?","","media","SANTILLANA","{""explicacionDiamante"": ""Estructura de pregunta: What time + Auxiliar (do) + Sujeto (you) + Verbo (go to bed)?"", ""rule_id"": ""U2_SYNTAX_TIME_BED""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","My brother ___ (go) to the park at five.","goes","","media","SANTILLANA","{""explicacionDiamante"": ""Verbos terminados en 'o' añaden 'es' con él/ella: My brother goes."", ""rule_id"": ""U2_GRAMMAR_GOES""}"
"Unit 2: Daily routines","4º Primaria","Inglés","voice","Is it: 'She watch' or 'She watches'?","She watches","","media","SANTILLANA","{""explicacionDiamante"": ""¡Correcto! Recuérda la 'es' final para She en verbos que acaban en 'ch'."", ""rule_id"": ""U2_GRAMMAR_3RD_PERS_S""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","play / friends / I / with / my","I play with my friends","","media","SANTILLANA","{""explicacionDiamante"": ""Sujeto + Verbo + con quién: 'I play with my friends'."", ""rule_id"": ""U2_SYNTAX_FRIENDS""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","We ___ (start) school at nine.","start","","fácil","SANTILLANA","{""explicacionDiamante"": ""Con 'We' el verbo no cambia: 'We start school'."", ""rule_id"": ""U2_GRAMMAR_PRESENT_WE""}"
"Unit 2: Daily routines","4º Primaria","Inglés","classification","Morning activities vs Night activities","{""Dressing"": ""Morning"", ""Sleeping"": ""Night"", ""Brushing teeth"": ""Both"", ""Reading a story"": ""Night""}","Dressing | Sleeping | Brushing teeth | Reading a story","media","SANTILLANA","{""buckets"": [""Morning"", ""Night"", ""Both""], ""explicacionDiamante"": ""Clasifica las acciones según el momento en que se suelen realizar.""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","past / It / five / quarter / is","It is quarter past five","","media","SANTILLANA","{""explicacionDiamante"": ""'Quarter past' significa 'y cuarto'. Estructura: It is quarter past + hora."", ""rule_id"": ""U2_VOCAB_TIME_QP""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","They ___ (not/have) a shower in the morning.","don't have","","media","SANTILLANA","{""explicacionDiamante"": ""Negativa con 'They' usa 'don't'. 'They don't have'."", ""rule_id"": ""U2_GRAMMAR_DONT""}"
"Unit 2: Daily routines","4º Primaria","Inglés","voice","How do you say 'y media' for the time?","Half past","","media","SANTILLANA","{""explicacionDiamante"": ""Para decir 'y media', usamos 'half past'. No te olvides de la 'l' en 'half'."", ""rule_id"": ""U2_VOCAB_TIME_HALF_ORAL""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","o'clock / fix / at / dinner / seven / I","I fix dinner at seven o'clock","","media","SANTILLANA","{""explicacionDiamante"": ""'Fix dinner' o 'make dinner' es preparar la cena. Recuerda el orden de la frase."", ""rule_id"": ""U2_VOCAB_DINNER""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","___ (do/does) he play football?","Does","","fácil","SANTILLANA","{""explicacionDiamante"": ""Para preguntas con 'He', usamos siempre el auxiliar 'Does'."", ""rule_id"": ""U2_GRAMMAR_DOES_QUES""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","brush / I / hair / my / evening / in / the","I brush my hair in the evening","","media","SANTILLANA","{""explicacionDiamante"": ""Sujeto + Verbo + Objeto + Momento del día."", ""rule_id"": ""U2_SYNTAX_HAIR""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","It's ten ___ (menos) five.","to","","fácil","SANTILLANA","{""explicacionDiamante"": ""Usamos 'to' para decir 'menos' cuando hablamos de las horas."", ""rule_id"": ""U2_VOCAB_TIME_TO""}"
"Unit 2: Daily routines","4º Primaria","Inglés","voice","Pronounce 'breakfast'","Breakfast","","media","SANTILLANA","{""explicacionDiamante"": ""Se pronuncia /'brekfəst/. ¡Cuidado con no alargar la 'ea'!"", ""rule_id"": ""U2_ORAL_BREAKFAST""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","up / What / time / get / do / you / ?","What time do you get up?","","fácil","SANTILLANA","{""explicacionDiamante"": ""Sigue el patrón: What time + aux + sujeto + verbo principal?"", ""rule_id"": ""U2_SYNTAX_TIME_GETUP""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","She ___ (go) to bed at nine.","goes","","media","SANTILLANA","{""explicacionDiamante"": ""Recuerda añadir 'es' a 'go' cuando el sujeto es She."", ""rule_id"": ""U2_GRAMMAR_GOES""}"
"Unit 2: Daily routines","4º Primaria","Inglés","classification","Third Person 'S' vs No 'S'","{""He plays"": ""Needs S"", ""I play"": ""No S"", ""She watches"": ""Needs S"", ""They watch"": ""No S""}","He plays | I play | She watches | They watch","media","SANTILLANA","{""buckets"": [""Needs S"", ""No S""], ""explicacionDiamante"": ""Clasifica según si la forma verbal lleva 's' o 'es' al final.""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","past / twelve / It / is / half","It is half past twelve","","media","SANTILLANA","{""explicacionDiamante"": ""Las doce y media se dice 'half past twelve'. Primero 'half past'."", ""rule_id"": ""U2_VOCAB_TIME_1230""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","Does she ___ (wash) her face?","wash","","media","SANTILLANA","{""explicacionDiamante"": ""En preguntas con 'Does', el verbo principal NO lleva 's'."", ""rule_id"": ""U2_GRAMMAR_DOES_NO_S""}"
"Unit 2: Daily routines","4º Primaria","Inglés","voice","Say 'I have lunch'","I have lunch","","media","SANTILLANA","{""explicacionDiamante"": ""En inglés 'lunch' se usa sin artículo: 'I have lunch', no 'the lunch'."", ""rule_id"": ""U2_VOCAB_LUNCH""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","past / It / six / is / quarter","It is quarter past six","","media","SANTILLANA","{""explicacionDiamante"": ""'Quarter' significa cuarto. 'Quarter past six' son las seis y cuarto."", ""rule_id"": ""U2_TIME_QUARTER""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","They ___ (not/get) up at six.","don't get","","media","SANTILLANA","{""explicacionDiamante"": ""Recuerda usar 'don't' para la negación con 'They'."", ""rule_id"": ""U2_GRAMMAR_DONT_GETUP""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","breakfast / I / at / half / past / seven / have","I have breakfast at half past seven","","dificil","SANTILLANA","{""explicacionDiamante"": ""Sujeto + Verbo + Objeto + Preposición 'at' + Hora."", ""rule_id"": ""U2_SYNTAX_BREAKFAST_TIME""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","He ___ (brush) his teeth.","brushes","","media","SANTILLANA","{""explicacionDiamante"": ""Verbos acabados en 'sh' necesitan 'es' para la tercera persona."", ""rule_id"": ""U2_GRAMMAR_BRUSHES""}"
"Unit 2: Daily routines","4º Primaria","Inglés","voice","Tell the time: 10:45","Quarter to eleven","","dificil","SANTILLANA","{""explicacionDiamante"": ""10:45 es 'las once menos cuarto' -> 'Quarter to eleven'."", ""rule_id"": ""U2_VOCAB_TIME_TO_ORAL""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","at / she / eight / wash / Does / face / her / ?","Does she wash her face at eight?","","dificil","SANTILLANA","{""explicacionDiamante"": ""Pregunta completa: Does + sujeto + verbo + objeto + hora?"", ""rule_id"": ""U2_SYNTAX_TIME_WASH""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","I ___ (not/do) my homework at night.","don't do","","media","SANTILLANA","{""explicacionDiamante"": ""Usamos 'don't' + el verbo 'do' -> don't do."", ""rule_id"": ""U2_GRAMMAR_DONT_DO""}"
"Unit 2: Daily routines","4º Primaria","Inglés","classification","Prepositions: At vs In","{""eight o clock"": ""at"", ""the morning"": ""in"", ""half past nine"": ""at"", ""the evening"": ""in""}","eight o clock | the morning | half past nine | the evening","media","SANTILLANA","{""buckets"": [""at"", ""in""], ""explicacionDiamante"": ""Usamos 'at' para horas exactas e 'in' para partes del día (morning, evening, afternoon).""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","bed / I / to / ten / go / at","I go to bed at ten","","media","SANTILLANA","{""explicacionDiamante"": ""Expresión correcta: 'go to bed'. No te olvides del 'at' para la hora."", ""rule_id"": ""U2_SYNTAX_BED""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","My friend ___ (start) school later than me.","starts","","media","SANTILLANA","{""explicacionDiamante"": ""'My friend' es tercera persona (he or she), por lo que añadimos 's' al verbo."", ""rule_id"": ""U2_GRAMMAR_3RD_PERS_S""}"
"Unit 2: Daily routines","4º Primaria","Inglés","voice","How do you spell 'quarter'?","Q-U-A-R-T-E-R","","dificil","SANTILLANA","{""explicacionDiamante"": ""¡Bien! No olvides la 'u' tras la 'q'."", ""rule_id"": ""U2_SPELLING_QUARTER""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","past / It / nine / quarter / is","It is quarter past nine","","media","SANTILLANA","{""explicacionDiamante"": ""Estructura clásica: It is + minutos + past + hora."", ""rule_id"": ""U2_TIME_PAST""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","Does she ___ (have) a shower?","have","","fácil","SANTILLANA","{""explicacionDiamante"": ""En preguntas con 'Does', usamos 'have' y no 'has'."", ""rule_id"": ""U2_GRAMMAR_DOES_HAVE""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","What / she / time / have / dinner / does / ?","What time does she have dinner?","","media","SANTILLANA","{""explicacionDiamante"": ""Sigue el orden: What time + does + she + have dinner?"", ""rule_id"": ""U2_SYNTAX_DINNER_TIME""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","They ___ (play) football at four.","play","","fácil","SANTILLANA","{""explicacionDiamante"": ""Con 'They' el verbo no cambia."", ""rule_id"": ""U2_GRAMMAR_PLAY""}"
"Unit 2: Daily routines","4º Primaria","Inglés","voice","Say: 'He doesn't have breakfast'","He doesn't have breakfast","","media","SANTILLANA","{""explicacionDiamante"": ""Usa 'doesn't have'. Recuerda que 'has' solo es para oraciones afirmativas."", ""rule_id"": ""U2_GRAMMAR_DOESNT_HAVE""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","teeth / brushes / He / his / twice / a / day","He brushes his teeth twice a day","","dificil","SANTILLANA","{""explicacionDiamante"": ""Orden: Sujeto + Verbo (es) + Posesivo + Objeto + Frecuencia."", ""rule_id"": ""U2_SYNTAX_BRUSHES""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","It's five ___ (para las) six.","to","","fácil","SANTILLANA","{""explicacionDiamante"": ""Para decir 'las seis menos cinco' usamos 'five to six'."", ""rule_id"": ""U2_TIME_TO""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","up / does / get / he / What / time / ?","What time does he get up?","","fácil","SANTILLANA","{""explicacionDiamante"": ""No olvides el auxiliar 'does' para hacer la pregunta con 'he'."", ""rule_id"": ""U2_QUES_DOES_GETUP""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","We ___ (not/watch) TV in the morning.","don't watch","","media","SANTILLANA","{""explicacionDiamante"": ""Forma negativa para We: don't + verbo."", ""rule_id"": ""U2_NEG_WATCH""}"
"Unit 2: Daily routines","4º Primaria","Inglés","voice","Pronounce 'watches'","Watches","","media","SANTILLANA","{""explicacionDiamante"": ""Se pronuncia /'wɒtʃɪz/. La terminación '-es' suena como una sílaba extra."", ""rule_id"": ""U2_ORAL_WATCHES""}"
