topic,grade_level,subject,question_type,question_text,correct_answer,options,difficulty,source,metadata_json
"Unit 1: Back to school","4º Primaria","Inglés","connector","Match places to activities","{""Library"": ""Read books"", ""Gym"": ""Do PE"", ""Canteen"": ""Eat lunch""}","","media","SANTILLANA","{""pairs"": {""Library"": ""Read books"", ""Gym"": ""Do PE"", ""Canteen"": ""Eat lunch""}, ""explicacionDiamante"": ""¿Qué actividad haces en cada sitio?""}"
"Unit 1: Back to school","4º Primaria","Inglés","connector","Match questions to answers","{""What's your name?"": ""I'm Tom"", ""How are you?"": ""I'm fine"", ""How old are you?"": ""I'm nine""}","","media","SANTILLANA","{""pairs"": {""What's your name?"": ""I'm Tom"", ""How are you?"": ""I'm fine"", ""How old are you?"": ""I'm nine""}, ""explicacionDiamante"": ""Busca la respuesta lógica para cada pregunta.""}"
"Unit 1: Back to school","4º Primaria","Inglés","connector","Match nouns to plurals","{""Book"": ""Books"", ""Pencil"": ""Pencils"", ""Dictionary"": ""Dictionaries""}","","media","SANTILLANA","{""pairs"": {""Book"": ""Books"", ""Pencil"": ""Pencils"", ""Dictionary"": ""Dictionaries""}, ""explicacionDiamante"": ""Une el singular con su forma plural correspondiente.""}"
"Unit 1: Back to school","4º Primaria","Inglés","connector","Match days to their order","{""Monday"": ""1st day"", ""Wednesday"": ""3rd day"", ""Friday"": ""5th day""}","","media","SANTILLANA","{""pairs"": {""Monday"": ""1st day"", ""Wednesday"": ""3rd day"", ""Friday"": ""5th day""}, ""explicacionDiamante"": ""Ordena los días de la semana escolar.""}"
"Unit 1: Back to school","4º Primaria","Inglés","connector","Match opposites","{""Big"": ""Small"", ""New"": ""Old"", ""Easy"": ""Difficult""}","","media","SANTILLANA","{""pairs"": {""Big"": ""Small"", ""New"": ""Old"", ""Easy"": ""Difficult""}, ""explicacionDiamante"": ""Encuentra el contrario de cada palabra.""}"
"Unit 1: Back to school","4º Primaria","Inglés","connector","Match colors to objects","{""Green"": ""Grass"", ""Blue"": ""Sky"", ""Yellow"": ""Sun""}","","media","SANTILLANA","{""pairs"": {""Green"": ""Grass"", ""Blue"": ""Sky"", ""Yellow"": ""Sun""}, ""explicacionDiamante"": ""¿De qué color son estas cosas por naturaleza?""}"
"Unit 1: Back to school","4º Primaria","Inglés","connector","Match pronouns to 'to be'","{""I"": ""am"", ""He"": ""is"", ""They"": ""are""}","","media","SANTILLANA","{""pairs"": {""I"": ""am"", ""He"": ""is"", ""They"": ""are""}, ""explicacionDiamante"": ""Une cada pronombre con su forma correcta del verbo TO BE.""}"
"Unit 1: Back to school","4º Primaria","Inglés","connector","Match commands to actions","{""Open"": ""the door"", ""Stand"": ""up"", ""Sit"": ""down""}","","media","SANTILLANA","{""pairs"": {""Open"": ""the door"", ""Stand"": ""up"", ""Sit"": ""down""}, ""explicacionDiamante"": ""Completa las instrucciones de clase.""}"
"Unit 1: Back to school","4º Primaria","Inglés","fill_blanks","I ___ (be) in the library. I ___ (have got) a book.","am | have got","","media","SANTILLANA","{""word_bank"": [""am"", ""have got"", ""is"", ""has got""], ""explicacionDiamante"": ""Recuerda las formas del verbo TO BE y HAVE GOT para la primera persona 'I'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","fill_blanks","This ___ my friend Sarah. She ___ a yellow school bag.","is | has got","","media","SANTILLANA","{""word_bank"": [""is"", ""has got"", ""are"", ""have got""], ""explicacionDiamante"": ""Para 'She', usamos 'is' y 'has got'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","fill_blanks","We ___ at school. We ___ English on Tuesdays.","are | have got","","media","SANTILLANA","{""word_bank"": [""are"", ""have got"", ""is"", ""has got""], ""explicacionDiamante"": ""Para 'We', usamos 'are' y 'have got'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","fill_blanks","The gym ___ big. It ___ a lot of balls.","is | has got","","media","SANTILLANA","{""word_bank"": [""is"", ""has got"", ""are"", ""have got""], ""explicacionDiamante"": ""El gimnasio es una cosa (It), por eso usamos 'is' y 'has got'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","fill_blanks","My favourite subject ___ Art. I ___ a new notebook.","is | have got","","media","SANTILLANA","{""word_bank"": [""is"", ""have got"", ""are"", ""has got""], ""explicacionDiamante"": ""Hablamos de la asignatura (singular) y de lo que yo tengo.""}"
"Unit 1: Back to school","4º Primaria","Inglés","fill_blanks","They ___ in the canteen. They ___ pizza for lunch.","are | have got","","media","SANTILLANA","{""word_bank"": [""are"", ""have got"", ""is"", ""has got""], ""explicacionDiamante"": ""Para el plural 'They', usamos las formas 'are' y 'have got'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","fill_blanks","Where ___ the rubber? It ___ in the pencil case.","is | is","","media","SANTILLANA","{""word_bank"": [""is"", ""are""], ""explicacionDiamante"": ""La goma es una cosa singular (It), usamos 'is'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","fill_blanks","___ you got a ruler? Yes, I ___ .","Have | have","","media","SANTILLANA","{""word_bank"": [""Have"", ""Has"", ""have"", ""has""], ""explicacionDiamante"": ""En preguntas con 'You', usamos 'Have'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","fill_blanks","___ he got a pencil? No, he ___ .","Has | hasn't","","media","SANTILLANA","{""word_bank"": [""Has"", ""Have"", ""hasn't"", ""haven't""], ""explicacionDiamante"": ""En preguntas con 'He', usamos 'Has'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","fill_blanks","I ___ like Maths. It ___ difficult.","don't | is","","media","SANTILLANA","{""word_bank"": [""don't"", ""doesn't"", ""is"", ""are""], ""explicacionDiamante"": ""Para negar en presente con 'I' usamos 'don't'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","voice","How do you say 'biblioteca' in English?","Library","","media","SANTILLANA","{""explicacionDiamante"": ""Biblioteca se dice 'Library'. ¡Cuidado! No es 'Librería', que se dice 'Bookshop'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","voice","How do you say 'asignatura' in English?","Subject","","media","SANTILLANA","{""explicacionDiamante"": ""Asignatura se dice 'Subject'. Por ejemplo: My favourite subject is English.""}"
"Unit 1: Back to school","4º Primaria","Inglés","voice","How do you say 'regla' in English?","Ruler","","media","SANTILLANA","{""explicacionDiamante"": ""Regla se dice 'Ruler'. Se escribe con 'U' pero suena parecido a una 'A'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","voice","How do you say 'comedor' in English?","Canteen","","media","SANTILLANA","{""explicacionDiamante"": ""Comedor escolar se dice 'Canteen'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","voice","How do you say 'sacapuntas' in English?","Sharpener","","media","SANTILLANA","{""explicacionDiamante"": ""Sacapuntas se dice 'Sharpener'. Viene de 'sharp' que significa afilado.""}"
"Unit 1: Back to school","4º Primaria","Inglés","scanner","Find the error: She have a blue school bag.","have","","dificil","SANTILLANA","{""explicacionDiamante"": ""Recuerda: Con He, She, It usamos 'has got', no 'have got'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","scanner","Find the error: We is in the playground.","is","","dificil","SANTILLANA","{""explicacionDiamante"": ""Con 'We' debemos usar 'are'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","scanner","Find the error: I has got a new pencil case.","has","","dificil","SANTILLANA","{""explicacionDiamante"": ""Con 'I' siempre usamos 'have got'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","scanner","Find the error: My favourite subject are Music.","are","","dificil","SANTILLANA","{""explicacionDiamante"": ""'My favourite subject' es singular, por eso usamos 'is'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","scanner","Find the error: The rulers is in the drawer.","is","","dificil","SANTILLANA","{""explicacionDiamante"": ""'The rulers' es plural, así que el verbo debe ser 'are'.""}"
"Unit 1: Back to school","4º Primaria","Inglés","text_input","Write 'pegamento' in English","Glue","","dificil","SANTILLANA","{""explicacionDiamante"": ""Pegamento se escribe 'Glue'. No olvides la 'e' final.""}"
