id,pregunta,asignatura,curso,tema,tipo_ejercicio,foco_auto,criterio_auto,licencia_auto,fuente_original,confianza,foco_final,criterio_final,licencia_final,verificado,notas
cuarto-primaria-galicia-PARTE2_69,"How do you say ""tercero"" in English?",Sin especificar,4º Primaria,Inglés,Third,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_71,"How do you say ""rojo"" in English?",Ciencias Naturales,4º Primaria,Colors and Animals,Colors,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_72,"How do you say ""azul"" in English?",Ciencias Naturales,4º Primaria,Colors and Animals,Blue,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_73,"How do you say ""perro"" in English?",Ciencias Naturales,4º Primaria,Colors and Animals,Animals,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_74,"How do you say ""gato"" in English?",Ciencias Naturales,4º Primaria,Colors and Animals,Cat,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_75,"Name 3 farm animals in English",Ciencias Naturales,4º Primaria,Colors and Animals,Farm animals,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_76,"How do you say ""león"" in English?",Ciencias Naturales,4º Primaria,Colors and Animals,Wild animals,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_77,"How do you ask ""¿Tienes mascota?""",Ciencias Naturales,4º Primaria,Colors and Animals,Pet question,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_78,"Complete: ""My cat is ______"" (negro)",Ciencias Naturales,4º Primaria,Colors and Animals,Description,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_79,"How do you say ""grande"" in English?",Ciencias Naturales,4º Primaria,Colors and Animals,Size,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_80,"How do you say ""pequeño"" in English?",Ciencias Naturales,4º Primaria,Colors and Animals,Small,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_81,"How do you say ""Me gustan los perros""?",Ciencias Naturales,4º Primaria,Colors and Animals,I like,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
EJEMPLO-EJERCICIOS-NC_4,"¿Cuánto es 1/2 + 1/4?",Sin especificar,Sin especificar,Matemáticas,Cálculo,PROCEDIMIENTO,,PROPRIETARY,"Sin especificar",0.46,PROCEDIMIENTO,,PROPRIETARY,false,""
EJEMPLO-EJERCICIOS-NC_1,"¿Quién descubrió América?",Sin especificar,Sin especificar,Ciencias Sociales,Concepto,CONCEPTO,,PROPRIETARY,"Sin especificar",0.48,CONCEPTO,,PROPRIETARY,false,""
EJEMPLO-EJERCICIOS-NC_2,"¿Cuál fue la primera civilización de la Península Ibérica?",Sin especificar,Sin especificar,Ciencias Sociales,Concepto,CONCEPTO,,PROPRIETARY,"Sin especificar",0.48,CONCEPTO,,PROPRIETARY,false,""
EJEMPLO-EJERCICIOS-NC_3,"¿Cuál es el río más largo de España?",Ciencias Sociales,Sin especificar,Geografía - Material Libre,Concepto,CONCEPTO,,PROPRIETARY,"Sin especificar",0.48,CONCEPTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_1,"Calcula: 7 × 8",Sin especificar,4º Primaria,Matemáticas,Tablas básicas,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_2,"Calcula: 34 × 10",Sin especificar,4º Primaria,Matemáticas,Multiplicar por 10,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_3,"Calcula: 25 × 100",Sin especificar,4º Primaria,Matemáticas,Multiplicar por 100,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_4,"Calcula: 23 × 12",Sin especificar,4º Primaria,Matemáticas,Doble cifra,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_5,"En una caja hay 24 lápices. Si compras 5 cajas, ¿cuántos lápices tienes?",Sin especificar,4º Primaria,Matemáticas,Problemas,APLICACION,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,APLICACION,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_6,"Calcula: 47 × 6",Sin especificar,4º Primaria,Matemáticas,Multiplicación con llevadas,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_10,"Un paquete de cromos cuesta 3€. Si compras 15 paquetes, ¿cuánto pagas?",Sin especificar,4º Primaria,Matemáticas,Problema real,APLICACION,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,APLICACION,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_11,"Calcula: 18 × 5",Sin especificar,4º Primaria,Matemáticas,Multiplicar por 5,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_37,"Si divides una tarta en 8 partes y coges 3, ¿qué fracción has cogido?",Sin especificar,4º Primaria,Fracciones,Reconocer fracción,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_41,"¿Cuánto es 1/2 de 10 caramelos?",Sin especificar,4º Primaria,Fracciones,Fracción de cantidad,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_43,"Una pizza está dividida en 6 trozos. Te comes 2, ¿qué fracción te has comido?",Sin especificar,4º Primaria,Fracciones,Problema práctico,APLICACION,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,APLICACION,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_44,"¿Cuántos cuartos hay en una mitad?",Sin especificar,4º Primaria,Fracciones,Equivalencias,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_46,"En una clase de 24 niños, 1/4 son rubios. ¿Cuántos niños son rubios?",Sin especificar,4º Primaria,Fracciones,Fracción de grupo,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_49,"María tiene 145 cromos y su hermano 87. ¿Cuántos tienen entre los dos?",Sin especificar,4º Primaria,Problemas,Problema de suma,APLICACION,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,APLICACION,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_50,"En una tienda había 500 caramelos. Vendieron 237. ¿Cuántos quedan?",Sin especificar,4º Primaria,Problemas,Problema de resta,APLICACION,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,APLICACION,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_51,"Un paquete de galletas cuesta 2€. ¿Cuánto cuestan 12 paquetes?",Sin especificar,4º Primaria,Problemas,Problema de multiplicación,APLICACION,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,APLICACION,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_52,"Reparte 60 gominolas entre 5 niños. ¿Cuántas le tocan a cada uno?",Sin especificar,4º Primaria,Problemas,Problema de división,APLICACION,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,APLICACION,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_53,"Compras 3 libros a 8€ cada uno. Pagas con un billete de 50€. ¿Cuánto te devuelven?",Sin especificar,4º Primaria,Problemas,Dos operaciones,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_55,"Tienes 3 monedas de 2€ y 5 monedas de 1€. ¿Cuánto dinero tienes?",Sin especificar,4º Primaria,Problemas,Dinero,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_56,"Un lápiz mide 18 cm. ¿Cuánto miden 4 lápices puestos en fila?",Sin especificar,4º Primaria,Problemas,Medidas,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_57,"Ana tiene 156 cromos y Luis 98. ¿Cuántos cromos más tiene Ana?",Sin especificar,4º Primaria,Problemas,Comparación,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_58,"Tienes 50€. Gastas 18€ en un juego y 12€ en un libro. ¿Cuánto te queda?",Sin especificar,4º Primaria,Problemas,Reparto desigual,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_59,"Si 6 bolígrafos cuestan 18€, ¿cuánto cuesta cada bolígrafo?",Sin especificar,4º Primaria,Problemas,Problema inverso,APLICACION,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,APLICACION,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_60,"En una granja hay 25 gallinas. Cada gallina pone 6 huevos a la semana. ¿Cuántos huevos ponen en total?",Sin especificar,4º Primaria,Problemas,Problema complejo,APLICACION,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,APLICACION,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_61,"Escribe correctamente: ""mi primo pablo vive en santiago""",Sin especificar,4º Primaria,Lengua Castellana,Mayúsculas,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_62,"¿Cómo se escribe: ca_po o ca_bo?",Sin especificar,4º Primaria,Lengua Castellana,mp/mb,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_63,"¿Cómo se escribe: pue_lo o pue_ro?",Sin especificar,4º Primaria,Lengua Castellana,br/bl,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_64,"Escribe correctamente: ""Donde vives""",Sin especificar,4º Primaria,Lengua Castellana,Signos interrogación,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_65,"Escribe correctamente: ""Que bonito""",Sin especificar,4º Primaria,Lengua Castellana,Signos exclamación,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_66,"¿Cómo se escribe: _uevo o _ueso?",Sin especificar,4º Primaria,Lengua Castellana,h inicial,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_67,"¿Cómo se escribe: _irafa o _irafa?",Sin especificar,4º Primaria,Lengua Castellana,g/j,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_68,"¿Cómo se escribe: _ereza o _ereza?",Sin especificar,4º Primaria,Lengua Castellana,c/z,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_66,"How do you ask ""¿Cuántos años tienes?""",Sin especificar,4º Primaria,Inglés,Age,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_70,"How do you ask ""¿Cuánto cuesta?""",Sin especificar,4º Primaria,Inglés,Price,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.52,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_7,"¿Cuál es el triple de 25?",Sin especificar,4º Primaria,Matemáticas,Triple,CONCEPTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.53,CONCEPTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_8,"¿Cuál es el doble de 38?",Sin especificar,4º Primaria,Matemáticas,Doble,CONCEPTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.53,CONCEPTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_9,"Si 8 × ? = 72, ¿cuál es el número que falta?",Sin especificar,4º Primaria,Matemáticas,Multiplicación inversa,CONCEPTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.53,CONCEPTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_12,"¿Qué es mayor: 6 × 8 o 7 × 7?",Sin especificar,4º Primaria,Matemáticas,Comparar,CONCEPTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.53,CONCEPTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_40,"¿Qué es mayor: 1/2 o 1/4?",Sin especificar,4º Primaria,Fracciones,Comparar,CONCEPTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.53,CONCEPTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_47,"¿Qué es mayor: 2/3 o 1/2?",Sin especificar,4º Primaria,Fracciones,Comparar fracciones,CONCEPTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.53,CONCEPTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_10,"¿Qué es un ecosistema?",Sin especificar,4º Primaria,Ciencias de la Naturaleza,Ecosistema,CONCEPTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.53,CONCEPTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_37,"¿Cuál es la capital de Galicia?",Sin especificar,4º Primaria,Ciencias Sociales,Capital,CONCEPTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.53,CONCEPTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_74,"Según el texto anterior, ¿qué le gusta hacer al perro?",Lengua Castellana,4º Primaria,Comprensión Lectora,Detalles,PROCEDIMIENTO,LEN_PRI4_C2.1,PROPRIETARY,"Creación propia - EduAnalytics",0.8,PROCEDIMIENTO,LEN_PRI4_C2.1,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_80,"En el cuento de Caperucita, ¿quién es el malo?",Lengua Castellana,4º Primaria,Comprensión Lectora,Personajes,PROCEDIMIENTO,LEN_PRI4_C2.1,PROPRIETARY,"Creación propia - EduAnalytics",0.8,PROCEDIMIENTO,LEN_PRI4_C2.1,PROPRIETARY,false,""
